signal,unique_creators,videos,total_views,total_likes,total_comments,total_shares,comment_intent_total,win_score,example_video_urls,example_captions
#tiktokmademebuyit,4,5,13200000,84800,1512,47777,0,172.0,https://www.tiktok.com/@lisacurtis8867/video/7633078401858899230 | https://www.tiktok.com/@goodstuffdiary/video/7635668854580055327 | https://www.tiktok.com/@goodstuffdiary/video/7636784929728154910,"#tiktokshopstockup #mothersdaygift#tiktok#tiktokmademebuyit#fyp || Water anytime, anywhere. ✨ Spherical stainless steel pet bottle – no spills, no waste. #portablewate || Comfortable fit, rugged use. 🏔️ Durable dog backpack with reflective strips & top handle. #dogbackpa"
kw:tiktokmademebuyit,4,5,13200000,84800,1512,47777,0,172.0,https://www.tiktok.com/@lisacurtis8867/video/7633078401858899230 | https://www.tiktok.com/@goodstuffdiary/video/7635668854580055327 | https://www.tiktok.com/@goodstuffdiary/video/7636784929728154910,"#tiktokshopstockup #mothersdaygift#tiktok#tiktokmademebuyit#fyp || Water anytime, anywhere. ✨ Spherical stainless steel pet bottle – no spills, no waste. #portablewate || Comfortable fit, rugged use. 🏔️ Durable dog backpack with reflective strips & top handle. #dogbackpa"
