author_followers,author_nickname,author_username,caption,comments,create_time,duration,hashtags,likes,links,music,product_score,product_signals,shares,url,video_id,views,viral_score
9981,Uslifeu,uslifeu,Smart Toothbrush Holder#tiktok #usa #fyp #foruyou #homehacks #lifehacks #goodthing #tiktokmademebuyit #bathroom #cleantok ,2664,1688636991,15,"tiktok,usa,fyp,foruyou,homehacks,lifehacks,goodthing,tiktokmademebuyit,bathroom,cleantok",103700,,original sound,4,"tiktokmademebuyit,#tiktokmademebuyit",13800,https://www.tiktok.com/@uslifeu/video/7252640381160918314,7252640381160918314,4000000,43.76
68000,AlexFinds,alexfindsbest,"Open & close with a tap! 🪟⚡ Motorized curtains with remote control. Schedule your sunlight, enjoy smart living. #smartcurtains #motorizedblinds #smarthome #tiktokmademebuyit#fyp",1682,1764429764,13,"smartcurtains,motorizedblinds,smarthome,tiktokmademebuyit,fyp",85100,,original sound - AlexFinds,4,"tiktokmademebuyit,#tiktokmademebuyit",28400,https://www.tiktok.com/@alexfindsbest/video/7578168112730606870,7578168112730606870,3600000,40.82
337600,Good Stuff Diary,goodstuffdiary,"Water anytime, anywhere. ✨ Spherical stainless steel pet bottle – no spills, no waste. #portablewater #doggear #petessentials #tiktokmademebuyit #fyp",213,1777817720,13,"portablewater,doggear,petessentials,tiktokmademebuyit,fyp",17900,,original sound - Good Stuff Diary,4,"tiktokmademebuyit,#tiktokmademebuyit",7604,https://www.tiktok.com/@goodstuffdiary/video/7635668854580055327,7635668854580055327,3500000,36.18
1699,QuickBin,quickbin_company,#TikTokMadeMeBuyIt #LifeHack #ViralProducts #KitchenGadgets #DailyUse,156,1777479592,10,"TikTokMadeMeBuyIt,LifeHack,ViralProducts,KitchenGadgets,DailyUse",13600,,sonido original - QuickBin,4,"tiktokmademebuyit,#TikTokMadeMeBuyIt",2127,https://www.tiktok.com/@quickbin_company/video/7634216698605767958,7634216698605767958,3000000,30.68
337600,Good Stuff Diary,goodstuffdiary,"Stick, sense, shine. ✨ Magnetic motion-sensor wall light with auto on/off & warm glow. #magneticlight #motionsensor  #walllamp #tiktokmademebuyit#fyp",1083,1774020766,12,"magneticlight,motionsensor,walllamp,tiktokmademebuyit,fyp",53100,,original sound - Good Stuff Diary,4,"tiktokmademebuyit,#tiktokmademebuyit",5107,https://www.tiktok.com/@goodstuffdiary/video/7619361107236490526,7619361107236490526,2800000,30.52
163000,Daily Sunbeam,dailysunbeam,Say goodbye to hand scrubbing. ✨ 360° spinning dish brush with soap dispenser & long handle. #spinbrush #soapdispenser #longhandle #tiktokmademebuyit#fyp,777,1770912854,18,"spinbrush,soapdispenser,longhandle,tiktokmademebuyit,fyp",32600,,suara asli - Daily Sunbeam,4,"tiktokmademebuyit,#tiktokmademebuyit",10400,https://www.tiktok.com/@dailysunbeam/video/7606012776712015122,7606012776712015122,2500000,27.61
4656,Aj.Qadir,aj.qadir,No more icy mornings 🧊🚗 This anti-frost car device saves me EVERY winter! #WinterDriving #CarGadgets #BlackFriday #TikTokMadeMeBuyIt #coldweather ,544,1767694071,9,"WinterDriving,CarGadgets,BlackFriday,TikTokMadeMeBuyIt,coldweather",28000,,original sound,4,"tiktokmademebuyit,#TikTokMadeMeBuyIt",15200,https://www.tiktok.com/@aj.qadir/video/7592188197669522710,7592188197669522710,2300000,26.25
477400,Tech Drop,techdropp,The Smart Lock Pro 🔐 from @SwitchBot is the ultimate smart home addition 🔥 Get yours through 🔗 in my b!0 😉 #switchbot #smartlockpro #gadget #smarthome #tech #robot #tiktokmademebuyit,1150,1724950071,27,"switchbot,smartlockpro,gadget,smarthome,tech,robot,tiktokmademebuyit",28700,,original sound,4,"tiktokmademebuyit,#tiktokmademebuyit",6009,https://www.tiktok.com/@techdropp/video/7408604115791580448,7408604115791580448,2100000,23.33
54900,newbetterlife90,newbetterlife90,Foldable Electric Kettle #uktiktok #foryou #goodrhing #electric #kettle #foldable #tiktokmademebuyit #lifehacks #homehacks #women #uk #fyp  ,1700,1673717845,11,"uktiktok,foryou,goodrhing,electric,kettle,foldable,tiktokmademebuyit,lifehacks,homehacks,women,uk,fyp",34400,,FEEL THE GROOVE,4,"tiktokmademebuyit,#tiktokmademebuyit",8316,https://www.tiktok.com/@newbetterlife90/video/7188563386366479622,7188563386366479622,1900000,22.3
2100000,airlandolists,airlandolists,Easy to remove the stains😏#gadgets #coolstuff #coolgadgets #homegadgets #product #shopping #favoritefinds #learnontiktok #tiktokmademebuyit #fyp ,1245,1737556220,10,"gadgets,coolstuff,coolgadgets,homegadgets,product,shopping,favoritefinds,learnontiktok,tiktokmademebuyit,fyp",26900,,预谋（DJ版）,4,"tiktokmademebuyit,#tiktokmademebuyit",18000,https://www.tiktok.com/@airlandolists/video/7462746836533677358,7462746836533677358,1700000,21.91
337600,Good Stuff Diary,goodstuffdiary,"Comfortable fit, rugged use. 🏔️ Durable dog backpack with reflective strips & top handle. #dogbackpack #petgear #walkessentials #tiktokmademebuyit#fyp",246,1778077576,11,"dogbackpack,petgear,walkessentials,tiktokmademebuyit,fyp",12500,,original sound - Good Stuff Diary,4,"tiktokmademebuyit,#tiktokmademebuyit",25000,https://www.tiktok.com/@goodstuffdiary/video/7636784929728154910,7636784929728154910,1600000,21.5
337600,Good Stuff Diary,goodstuffdiary,"Charge three, spin with ease.  3-in-1 rotating wireless charger for phone, watch & earbuds. #wirelesscharger #3in1charger #rotatingbase #tiktokmademebuyit #fyp",488,1770129296,14,"wirelesscharger,3in1charger,rotatingbase,tiktokmademebuyit,fyp",44500,,original sound - Good Stuff Diary,4,"tiktokmademebuyit,#tiktokmademebuyit",4191,https://www.tiktok.com/@goodstuffdiary/video/7602647305434467614,7602647305434467614,1700000,20.41
260,vilus1027,vilus1027,"Tired of hot, bulky power banks with no personality? 😫try it！~✨ #powerbank #PortablePower #CoolTech #TikTokmademebuyit #fastcharger",328,1777458600,11,"powerbank,PortablePower,CoolTech,TikTokmademebuyit,fastcharger",18400,,addictive,4,"tiktokmademebuyit,#TikTokmademebuyit",5029,https://www.tiktok.com/@vilus1027/video/7634119048460029214,7634119048460029214,1100000,14.1
104200,欧洲资讯,algomasfacil,Tu hogar necesita esto 💡🛋️ #lampara #iluminacion #lifehacks #tiktokmehizocomprarlo #decoration #deciracion #tiktokmehizocomprarlo #tiktokmademebuyit ,366,1753966022,20,"lampara,iluminacion,lifehacks,tiktokmehizocomprarlo,decoration,deciracion,tiktokmehizocomprarlo,tiktokmademebuyit",16600,,Sunroof,4,"tiktokmademebuyit,#tiktokmademebuyit",2803,https://www.tiktok.com/@algomasfacil/video/7533226683084705046,7533226683084705046,729000,10.82
337600,Good Stuff Diary,goodstuffdiary,"Massage, detangle, nourish.  Electric serum comb with ion boost & smooth gliding. #electriccomb #serumcomb #hairmassage #tiktokmademebuyit #fyp",119,1770912131,14,"electriccomb,serumcomb,hairmassage,tiktokmademebuyit,fyp",7934,,original sound - Good Stuff Diary,4,"tiktokmademebuyit,#tiktokmademebuyit",3388,https://www.tiktok.com/@goodstuffdiary/video/7606009632129174814,7606009632129174814,693300,9.58
12700,Senior Marketing Consulting,findyproducts,"#tik .tokstore #trending #newproduct #tiktok #tiktokusa #coolgadgest 
 #tiktokmademebuyit #tiktokmademetryit #tiktokmademebuyit2024 #viralproduct 
 #viralproducts #viralvideo #viral #viralvideo #viraltiktok #favrorite #origional #products 
 #products #2024viral #2024products #like #likess ",372,1721502750,15,"tik,trending,newproduct,tiktok,tiktokusa,coolgadgest,tiktokmademebuyit,tiktokmademetryit,tiktokmademebuyit2024,viralproduct,viralproducts,viralvideo,viral,viralvideo,viraltiktok,favrorite,origional,products,products,2024viral,2024products,like,likess",9411,,original sound,4,"tiktokmademebuyit,#tiktokmademebuyit",3590,https://www.tiktok.com/@findyproducts/video/7393797937014394143,7393797937014394143,526400,9.24
994,Rebirthease™,rebirtheasex,Follow and get 5% OFF. 😎 #tiktokmademebuyit #relief #neckmassager ,563,1767725352,12,"tiktokmademebuyit,relief,neckmassager",10900,,original sound,4,"tiktokmademebuyit,#tiktokmademebuyit",1058,https://www.tiktok.com/@rebirtheasex/video/7592322533475634454,7592322533475634454,326700,7.92
204300,Woker,woker.achiever,"Abrís TikTok, esa app donde otros pierden tiempo… vos la usás para hacer plata. Buscás los hashtag tiktokmademebuyit o amazonfinds. Ahí no estás viendo videos: estás estudiando el mercado. Un producto que se hace viral no es casualidad. Es porque llama la atención, resuelve algo o se ve distinto y vos te podés aprovechar de eso!",16,1767740456,31,,3628,,sonido original - Woker,4,"amazon,tiktokmademebuyit",1015,https://www.tiktok.com/@woker.achiever/video/7592387292795374862,7592387292795374862,192300,5.41
